"Rider","Country","Team","FP_2016","GC_Mean","GC_Complete","best_GC","worst_GC","Team_Mean","Team_Highest","Country_Mean","Country_Highest","Aus","Aut","Bel","Col","Cro","Cze","Den","Eri","Est","Fra","GBr","Ger","Irl","Ita","Jpn","Ltu","Lux","Ned","Nor","NZl","Pol","Por","RSA","Slo","Spa","Svk","Swi","Ukr","USA"
"Laurens Ten Dam","Ned","Team GiantAlpecin",73,39,5,9,87,82.5714285714286,9,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Jerome Coppel","Fra","IAM Cycling",75,32.6666666666667,3,14,63,52.5333333333333,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Schar","Swi","BMC Racing Team",76,62,4,43,103,63.23125,5,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Arthur Vichot","Fra","FDJ",78,88,3,66,104,95.5833333333333,35,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas Voeckler","Fra","Direct Energie",79,35.8,5,4,65,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nelson Oliveira","Por","Movistar Team",80,65.5,2,44,87,44.0333333333333,2,65.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Romain Sicard","Fra","Direct Energie",81,76,2,30,122,92.55,4,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tom Jelte Slagter","Ned","CannondaleDrapac",82,56,1,56,56,95.3916666666667,8,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chris Anker Sorensen","Den","Fortuneo Vital Concept",84,25.5,2,14,37,82.1666666666667,14,50.8333333333333,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daniel Teklehaimanot","Eri","Dimension Data",85,46,1,46,46,74.0555555555556,13,46,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andriy Grivko","Ukr","Astana Pro Team",86,85.75,4,43,144,34.6041666666667,1,85.75,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Arnold Jeannesson","Fra","Cofidis Solutions Credits",87,24.6666666666667,3,15,30,97.3809523809524,15,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jan Barta","Cze","BoraArgon 18",88,47.5,2,24,71,85.4,24,46.0833333333333,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcus Burghardt","Ger","BMC Racing Team",89,118.5,4,58,164,63.23125,5,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Delaplace","Fra","Fortuneo Vital Concept",90,95.5,4,78,135,82.1666666666667,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dylan Van Baarle","Ned","CannondaleDrapac",91,141,1,141,141,95.3916666666667,8,77.3055555555556,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PierreLuc Perichon","Fra","Fortuneo Vital Concept",93,76,1,76,76,82.1666666666667,14,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter Sagan","Svk","Tinkoff Team",95,56.75,4,42,82,74.9833333333333,5,56.75,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Jeremy Roy","Fra","FDJ",96,87,5,57,126,95.5833333333333,35,82.0875,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reto Hollenstein","Swi","IAM Cycling",97,70,1,70,70,52.5333333333333,14,75.9523809523809,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Paul Martens","Ger","Team LottoNlJumbo",98,75,1,75,75,96.2916666666667,74,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Hansen","Aus","Lotto Soudal",100,81.5,4,64,109,106.229166666667,29,99.9,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paul Voss","Ger","BoraArgon 18",101,72,2,50,94,85.4,24,109.95,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
