"Rider","2010","2011","2012","2013","2014","2015","2016"
"Cesare Benedetti",117.511944444444,101.980833333333,182.406388888889,129.223888888889,140.541666666667,116.484166666667,116.946944444444
"Chris Anker Sorensen",16.3213888888889,188.369166666667,137.539444444444,134.504444444444,160.762777777778,169.755,155.228888888889
"Christophe Laporte",NA,NA,11.7558333333333,1.12916666666667,89.4672222222222,142.653888888889,122.098055555556
"Christopher Froome",142.871388888889,156.716666666667,47.9613888888889,106.848611111111,93.7669444444444,102.349166666667,90.7802777777778
"Christopher Juul Jensen",28.7302777777778,NA,116.679444444444,115.946944444444,182.1475,185.425833333333,131.839166666667
"Cyril Gautier",145.933055555556,166.371944444444,114.753333333333,113.141111111111,166.19,157.341111111111,161.650833333333
"Cyril Lemoine",155.605,149.484444444444,85.2188888888889,86.0838888888889,124.364444444444,141.195833333333,154.521944444444
"Damiano Caruso",122.788333333333,190.598333333333,158.496111111111,200.510277777778,156.687222222222,170.742222222222,172.138333333333
"Daniel Martin",214.389444444444,143.553888888889,116.585555555556,118.803333333333,64.8819444444444,127.663333333333,160.4475
"Daniel Mclay",30.1694444444444,2.38416666666667,4.15138888888889,0,NA,95.1277777777778,69.8208333333333
"Daniel McLay",NA,32.2791666666667,NA,NA,NA,16.5425,21.0913888888889
"Daniel Moreno",59.8111111111111,NA,15.2008333333333,23.9019444444444,NA,NA,82.2377777777778
"Daniel Teklehaimanot",25.5486111111111,57.9247222222222,77.6197222222222,25.69,150.810555555556,104.979166666667,126.367777777778
"Daryl Impey",75.5347222222222,117.506388888889,150.981111111111,142.899166666667,111.696944444444,139.508888888889,145.513611111111
"Davide Cimolai",184.870833333333,49.0325,108.254444444444,125.333611111111,100.8425,97.3025,158.509166666667
"Diego Rosa",2.07361111111111,1.35305555555556,39.1175,221.758611111111,127.892222222222,151.0375,141.968055555556
"Domenico Pozzovivo",165.293055555556,166.183611111111,187.823888888889,225.527222222222,218.551666666667,128.263333333333,181.830833333333
"Dylan Groenewegen",15.3641666666667,0.808055555555556,35.9652777777778,68.8927777777778,39.8127777777778,152.614722222222,118.410555555556
"Dylan van Baarle",7.9675,29.3386111111111,19.895,23.0188888888889,14.3105555555556,NA,NA
"Dylan Van Baarle",12.9594444444444,34.1561111111111,50.3208333333333,7.37194444444444,107.414166666667,131.636666666667,128.703055555556
"Eduardo Sepulveda",NA,20.4694444444444,36.1697222222222,69.7486111111111,112.781944444444,171.345833333333,75.8355555555556
"Edvald Boasson Hagen",129.653888888889,114.466666666667,127.941666666667,88.7619444444444,173.685555555556,182.438055555556,150.431944444444
"Emanuel Buchmann",5.24888888888889,35.4988888888889,32.5283333333333,6.00972222222222,28.0641666666667,102.621666666667,115.240833333333
"Fabio Aru",42.9497222222222,53.4811111111111,43.2311111111111,166.915277777778,140.155555555556,148.191388888889,107.908055555556
"Fabio Sabatini",229.526944444444,172.468055555556,208.003055555556,175.367222222222,181.474722222222,230.094444444444,199.965555555556
"Fabrice Jeandesboz",147.309444444444,124.458333333333,153.230277777778,94.3763888888889,6.45111111111111,130.254722222222,97.6036111111111
"Florian Vachon",163.823055555556,148.877222222222,175.6025,101.1975,135.000833333333,167.728055555556,139.295
"Frank Schleck",158.136111111111,171.391944444444,200.2625,NA,139.333055555556,117.976111111111,123.833055555556
"Geoffrey Soupe",34.245,79.5847222222222,162.317777777778,96.3922222222222,130.548333333333,162.753333333333,178.331944444444
"George Bennett",52.1327777777778,20.4236111111111,85.3794444444444,152.466666666667,154.151666666667,133.253333333333,94.6219444444444
"Georg Preidler",34.4983333333333,68.0166666666667,123.4725,140.786666666667,211.3075,171.826388888889,231.149722222222
"Geraint Thomas",152.480555555556,205.826111111111,156.476666666667,90.1883333333333,114.003333333333,132.465277777778,122.233055555556
"Greg Henderson",70.7461111111111,129.455,96.9983333333333,72.2938888888889,114.564166666667,157.401944444444,67.6644444444444
"Gregory Rast",142.482777777778,174.230277777778,169.213611111111,128.172777777778,172.371111111111,169.476111111111,165.078055555556
