"Rider","Year","Riding_Time_hrs"
"Christopher Froome",2016,90.7802777777778
"Christopher Juul Jensen",2010,28.7302777777778
"Christopher Juul Jensen",2012,116.679444444444
"Christopher Juul Jensen",2013,115.946944444444
"Christopher Juul Jensen",2014,182.1475
"Christopher Juul Jensen",2015,185.425833333333
"Christopher Juul Jensen",2016,131.839166666667
"Cyril Gautier",2010,145.933055555556
"Cyril Gautier",2011,166.371944444444
"Cyril Gautier",2012,114.753333333333
"Cyril Gautier",2013,113.141111111111
"Cyril Gautier",2014,166.19
"Cyril Gautier",2015,157.341111111111
"Cyril Gautier",2016,161.650833333333
"Cyril Lemoine",2010,155.605
"Cyril Lemoine",2011,149.484444444444
"Cyril Lemoine",2012,85.2188888888889
"Cyril Lemoine",2013,86.0838888888889
"Cyril Lemoine",2014,124.364444444444
"Cyril Lemoine",2015,141.195833333333
"Cyril Lemoine",2016,154.521944444444
"Damiano Caruso",2010,122.788333333333
"Damiano Caruso",2011,190.598333333333
"Damiano Caruso",2012,158.496111111111
"Damiano Caruso",2013,200.510277777778
"Damiano Caruso",2014,156.687222222222
"Damiano Caruso",2015,170.742222222222
"Damiano Caruso",2016,172.138333333333
"Daniel Martin",2010,214.389444444444
"Daniel Martin",2011,143.553888888889
"Daniel Martin",2012,116.585555555556
"Daniel Martin",2013,118.803333333333
"Daniel Martin",2014,64.8819444444444
"Daniel Martin",2015,127.663333333333
"Daniel Martin",2016,160.4475
"Daniel Mclay",2010,30.1694444444444
"Daniel Mclay",2011,2.38416666666667
"Daniel Mclay",2012,4.15138888888889
"Daniel Mclay",2013,0
"Daniel Mclay",2015,95.1277777777778
"Daniel Mclay",2016,69.8208333333333
"Daniel McLay",2011,32.2791666666667
"Daniel McLay",2015,16.5425
"Daniel McLay",2016,21.0913888888889
"Daniel Moreno",2010,59.8111111111111
"Daniel Moreno",2012,15.2008333333333
"Daniel Moreno",2013,23.9019444444444
"Daniel Moreno",2016,82.2377777777778
"Daniel Teklehaimanot",2010,25.5486111111111
"Daniel Teklehaimanot",2011,57.9247222222222
"Daniel Teklehaimanot",2012,77.6197222222222
"Daniel Teklehaimanot",2013,25.69
"Daniel Teklehaimanot",2014,150.810555555556
"Daniel Teklehaimanot",2015,104.979166666667
"Daniel Teklehaimanot",2016,126.367777777778
"Daryl Impey",2010,75.5347222222222
"Daryl Impey",2011,117.506388888889
"Daryl Impey",2012,150.981111111111
"Daryl Impey",2013,142.899166666667
"Daryl Impey",2014,111.696944444444
"Daryl Impey",2015,139.508888888889
"Daryl Impey",2016,145.513611111111
"Davide Cimolai",2010,184.870833333333
"Davide Cimolai",2011,49.0325
"Davide Cimolai",2012,108.254444444444
"Davide Cimolai",2013,125.333611111111
"Davide Cimolai",2014,100.8425
"Davide Cimolai",2015,97.3025
"Davide Cimolai",2016,158.509166666667
"Diego Rosa",2010,2.07361111111111
"Diego Rosa",2011,1.35305555555556
"Diego Rosa",2012,39.1175
"Diego Rosa",2013,221.758611111111
"Diego Rosa",2014,127.892222222222
"Diego Rosa",2015,151.0375
"Diego Rosa",2016,141.968055555556
"Domenico Pozzovivo",2010,165.293055555556
"Domenico Pozzovivo",2011,166.183611111111
"Domenico Pozzovivo",2012,187.823888888889
"Domenico Pozzovivo",2013,225.527222222222
"Domenico Pozzovivo",2014,218.551666666667
"Domenico Pozzovivo",2015,128.263333333333
"Domenico Pozzovivo",2016,181.830833333333
"Dylan Groenewegen",2010,15.3641666666667
"Dylan Groenewegen",2011,0.808055555555556
"Dylan Groenewegen",2012,35.9652777777778
"Dylan Groenewegen",2013,68.8927777777778
"Dylan Groenewegen",2014,39.8127777777778
"Dylan Groenewegen",2015,152.614722222222
"Dylan Groenewegen",2016,118.410555555556
"Dylan van Baarle",2010,7.9675
"Dylan van Baarle",2011,29.3386111111111
"Dylan van Baarle",2012,19.895
"Dylan van Baarle",2013,23.0188888888889
"Dylan van Baarle",2014,14.3105555555556
"Dylan Van Baarle",2010,12.9594444444444
"Dylan Van Baarle",2011,34.1561111111111
"Dylan Van Baarle",2012,50.3208333333333
"Dylan Van Baarle",2013,7.37194444444444
"Dylan Van Baarle",2014,107.414166666667
"Dylan Van Baarle",2015,131.636666666667
"Dylan Van Baarle",2016,128.703055555556
"Eduardo Sepulveda",2011,20.4694444444444
"Eduardo Sepulveda",2012,36.1697222222222
"Eduardo Sepulveda",2013,69.7486111111111
"Eduardo Sepulveda",2014,112.781944444444
"Eduardo Sepulveda",2015,171.345833333333
"Eduardo Sepulveda",2016,75.8355555555556
"Edvald Boasson Hagen",2010,129.653888888889
"Edvald Boasson Hagen",2011,114.466666666667
"Edvald Boasson Hagen",2012,127.941666666667
"Edvald Boasson Hagen",2013,88.7619444444444
"Edvald Boasson Hagen",2014,173.685555555556
"Edvald Boasson Hagen",2015,182.438055555556
"Edvald Boasson Hagen",2016,150.431944444444
"Emanuel Buchmann",2010,5.24888888888889
"Emanuel Buchmann",2011,35.4988888888889
"Emanuel Buchmann",2012,32.5283333333333
"Emanuel Buchmann",2013,6.00972222222222
"Emanuel Buchmann",2014,28.0641666666667
"Emanuel Buchmann",2015,102.621666666667
"Emanuel Buchmann",2016,115.240833333333
"Fabio Aru",2010,42.9497222222222
"Fabio Aru",2011,53.4811111111111
"Fabio Aru",2012,43.2311111111111
"Fabio Aru",2013,166.915277777778
"Fabio Aru",2014,140.155555555556
"Fabio Aru",2015,148.191388888889
"Fabio Aru",2016,107.908055555556
"Fabio Sabatini",2010,229.526944444444
"Fabio Sabatini",2011,172.468055555556
"Fabio Sabatini",2012,208.003055555556
"Fabio Sabatini",2013,175.367222222222
"Fabio Sabatini",2014,181.474722222222
"Fabio Sabatini",2015,230.094444444444
"Fabio Sabatini",2016,199.965555555556
"Fabrice Jeandesboz",2010,147.309444444444
"Fabrice Jeandesboz",2011,124.458333333333
"Fabrice Jeandesboz",2012,153.230277777778
"Fabrice Jeandesboz",2013,94.3763888888889
"Fabrice Jeandesboz",2014,6.45111111111111
"Fabrice Jeandesboz",2015,130.254722222222
"Fabrice Jeandesboz",2016,97.6036111111111
"Florian Vachon",2010,163.823055555556
"Florian Vachon",2011,148.877222222222
"Florian Vachon",2012,175.6025
